"filename", "language", "Markdown", "Dart", "C++", "JSON", "HTML", "XML", "YAML", "Swift", "CMake", "Properties", "Gradle", "comment", "blank", "total"
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\web\index.html", "HTML", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 16, 18, 132
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\flutter_window.cpp", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\fuky8\EXE201_flutter_screen\metravel_demo1\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 13, 10107, 537, 275, 98, 535, 37, 54, 38, 8, 94, 528, 719, 13043
